# E, Spec, Angle, Q2, CS/DipCS, dSCS/DipCS, MinCut, MaxCut, TPE, Sys_Scal, Norm
126.700000 W 113.500000 3.780000e-02 9.455144e-01 1.796225e-02 1 1 1.010400 1 34
122.400000 W 180.000000 4.750000e-02 9.628467e-01 2.022180e-02 1 1 1.011500 1 34
146.900000 W 113.400000 4.950000e-02 9.772492e-01 1.955170e-02 1 1 1.010400 1 34
166.100000 W 111.600000 6.080000e-02 1.015402e+00 2.234205e-02 1 1 1.010400 1 34
150.400000 W 180.000000 6.850000e-02 1.003529e+00 5.920712e-02 1 1 1.011500 1 34
177.300000 W 111.900000 6.850000e-02 9.757838e-01 3.511897e-02 1 1 1.010400 1 34
70.100000 W 180.000000 1.710000e-02 9.425699e-01 4.617928e-02 1 1 1.011500 1 34
135.300000 W 180.000000 5.680000e-02 9.618790e-01 5.387506e-02 1 1 1.011500 1 34
111.000000 W 60.000000 1.160000e-02 9.795847e-01 1.958954e-02 1 1 1.007600 1 34
143.000000 W 60.000000 1.900000e-02 9.625589e-01 1.925118e-02 1 1 1.007600 1 34
159.000000 W 60.000000 2.330000e-02 9.576101e-01 2.106742e-02 1 1 1.007600 1 34
197.000000 W 60.000000 3.510000e-02 9.617414e-01 2.307581e-02 1 1 1.007600 1 34
208.000000 W 60.000000 3.900000e-02 9.660931e-01 1.931341e-02 1 1 1.007600 1 34
85.700000 W 150.000000 2.340000e-02 9.429494e-01 1.885899e-02 1 1 1.011300 1 34
113.000000 W 150.000000 3.890000e-02 9.887280e-01 1.977735e-02 1 1 1.011300 1 34
139.000000 W 104.000000 4.050000e-02 9.756253e-01 2.048936e-02 1 1 1.010100 1 34
230.000000 W 84.000000 7.770000e-02 9.455649e-01 1.891130e-02 1 1 1.009200 1 34
167.000000 W 150.000000 7.810000e-02 9.637509e-01 1.927502e-02 1 1 1.011300 1 34
390.000000 W 45.000000 7.940000e-02 9.774489e-01 2.052841e-02 1 1 1.006300 1 34
249.000000 W 105.000000 1.170000e-01 9.764913e-01 2.050811e-02 1 1 1.010100 1 34
210.000000 W 150.000000 1.161000e-01 9.716645e-01 2.234657e-02 1 1 1.011300 1 34
242.000000 W 150.000000 1.476000e-01 9.275693e-01 2.782262e-02 1 1 1.011300 1 34
545.000000 W 45.000000 1.487000e-01 9.604810e-01 2.305414e-02 1 1 1.006300 1 34
438.000000 W 75.000000 2.113000e-01 9.596146e-01 2.591230e-02 1 1 1.008700 1 34
328.000000 W 120.000000 2.117000e-01 9.936923e-01 2.781761e-02 1 1 1.010600 1 34
311.000000 W 135.000000 2.109000e-01 9.414123e-01 2.636316e-02 1 1 1.011000 1 34
304.000000 W 145.000000 2.116000e-01 9.915483e-01 2.875286e-02 1 1 1.011200 1 34
647.000000 W 60.000000 3.113000e-01 9.645833e-01 2.122122e-02 1 1 1.007600 1 34
416.000000 W 120.000000 3.118000e-01 9.728369e-01 2.917569e-02 1 1 1.010600 1 34
745.000000 W 60.000000 3.973000e-01 9.324233e-01 2.331382e-02 1 1 1.007600 1 34
485.000000 W 120.000000 3.975000e-01 9.565351e-01 3.347488e-02 1 1 1.010600 1 34
149.800000 W 80.000000 3.280000e-02 9.649211e-01 8.784403e-03 1 1 1.009000 1 34
149.800000 W 90.000000 3.870000e-02 9.612393e-01 7.471598e-03 1 1 1.009500 1 34
149.800000 W 100.000000 4.440000e-02 9.575496e-01 7.978246e-03 1 1 1.009900 1 34
149.800000 W 110.000000 4.960000e-02 9.531083e-01 9.158393e-03 1 1 1.010300 1 34
149.800000 W 120.000000 5.430000e-02 9.638566e-01 9.736284e-03 1 1 1.010600 1 34
149.800000 W 130.000000 5.840000e-02 9.660643e-01 8.603376e-03 1 1 1.010900 1 34
180.100000 W 80.000000 4.630000e-02 9.613236e-01 1.319727e-02 1 1 1.009000 1 34
180.100000 W 90.000000 5.440000e-02 9.603569e-01 1.116503e-02 1 1 1.009500 1 34
180.100000 W 95.000000 5.840000e-02 9.575601e-01 1.415277e-02 1 1 1.009700 1 34
180.100000 W 100.000000 6.210000e-02 9.566869e-01 1.239250e-02 1 1 1.009900 1 34
180.100000 W 105.000000 6.580000e-02 9.611169e-01 1.313405e-02 1 1 1.010100 1 34
180.100000 W 110.000000 6.920000e-02 9.420170e-01 1.244459e-02 1 1 1.010300 1 34
180.100000 W 115.000000 7.250000e-02 9.510054e-01 1.279542e-02 1 1 1.010500 1 34
180.100000 W 120.000000 7.560000e-02 9.439440e-01 1.260322e-02 1 1 1.010600 1 34
180.100000 W 130.000000 8.100000e-02 9.515487e-01 1.023141e-02 1 1 1.010900 1 34
180.100000 W 140.000000 8.560000e-02 9.672137e-01 1.528285e-02 1 1 1.011100 1 34
199.600000 W 80.000000 5.600000e-02 9.519118e-01 1.387556e-02 1 1 1.009000 1 34
199.600000 W 90.000000 6.570000e-02 9.601341e-01 1.405257e-02 1 1 1.009500 1 34
199.600000 W 100.000000 7.480000e-02 9.606795e-01 1.254962e-02 1 1 1.009900 1 34
199.600000 W 105.000000 7.910000e-02 9.483392e-01 1.363750e-02 1 1 1.010100 1 34
199.600000 W 110.000000 8.320000e-02 9.435081e-01 1.102194e-02 1 1 1.010300 1 34
199.600000 W 115.000000 8.700000e-02 9.405048e-01 1.183837e-02 1 1 1.010500 1 34
199.600000 W 120.000000 9.060000e-02 9.508923e-01 1.082275e-02 1 1 1.010600 1 34
199.600000 W 130.000000 9.700000e-02 9.459083e-01 6.196331e-03 1 1 1.010900 1 34
199.600000 W 140.000000 1.023000e-01 9.370785e-01 1.044136e-02 1 1 1.011100 1 34
228.900000 W 28.000000 1.190000e-02 9.643435e-01 1.968080e-02 1 1 1.004500 1 34
228.900000 W 40.000000 2.320000e-02 9.714561e-01 1.245329e-02 1 1 1.005800 1 34
