Q2 ff_ratio stat_error sys_error
0.162 1.019 0.013 0.015
0.191 1.006 0.012 0.014
0.232 0.999 0.012 0.012
0.282 0.973 0.012 0.011
0.345 0.973 0.014 0.010
0.419 0.980 0.016 0.009
0.500 0.993 0.019 0.008
0.591 0.961 0.025 0.007
0.8 0.901 0.007 0.010
1.3 0.858 0.008 0.019
0.49 0.979 0.016 0.006
0.79 0.951 0.012 0.010
1.18 0.883 0.013 0.018
1.48 0.798 0.029 0.026
1.77 0.789 0.024 0.035
1.88 0.777 0.024 0.033
2.13 0.747 0.032 0.034
2.47 0.703 0.023 0.033
2.97 0.615 0.029 0.021
3.47 0.606 0.042 0.014
0.298 0.9272 0.0114 0.0071
0.346 0.9433 0.0088 0.0093
0.40 0.9318 0.0066 0.0076
0.449 0.9314 0.0060 0.0073
0.494 0.9286 0.0054 0.0076
0.547 0.9274 0.0055 0.0071
0.599 0.9084 0.0053 0.0104
0.695 0.9122 0.0045 0.0107
